,content,polarity
45,RT @zea_ssppea: Condiciones socioeconómicas de los estudiantes no deben ser obstáculo para recibir #EducaciónGratuita .@ZE_ARAGUA https://t…,1
46,RT @zea_ssppea: Condiciones socioeconómicas de los estudiantes no deben ser obstáculo para recibir #EducaciónGratuita .@ZE_ARAGUA https://t…,1
47,"RT @zea_ssppea: Lista de útiles escolares no es un requisito primordial, garantizando inclusión de niños y niñas #EducaciónGratuita https:/…",0
48,RT @zea_ssppea: .@MPPEDUCACION regula solicitud de materiales y textos escolares en el nivel de Educación Básica #EducaciónGratuita https:/…,1
49,RT @zea_ssppea: La entrega de los materiales escolares es conforme al uso y aplicación en el Calendario Escolar #EducaciónGratuita https://…,1
50,RT @zea_ssppea: La entrega de los materiales escolares es conforme al uso y aplicación en el Calendario Escolar #EducaciónGratuita https://…,1
51,#CarreraDocente: 70% de profesores municipales evaluados no alcanzó nivel esperado por #Mineduc https://t.co/yeagaAF640 #EducaciónGratuita,1
52,RT @zea_ssppea: Regularización de útiles escolares en planteles oficiales fortalece el derecho a la #EducaciónGratuita https://t.co/8ln2X8B…,0
53,RT @zea_ssppea: Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/OtqF68sCaT https://t.co/NNpvRHznHh,1
54,RT @zea_ssppea: Condiciones socioeconómicas de los estudiantes no deben ser obstáculo para recibir #EducaciónGratuita .@ZE_ARAGUA https://t…,1
55,"RT @zea_ssppea: Lista de útiles escolares no es un requisito primordial, garantizando inclusión de niños y niñas #EducaciónGratuita https:/…",0
56,RT @zea_ssppea: Centros educativos oficiales no podrán solicitar aportes en dinero para inscripciones 2016-2017 #EducaciónGratuita https://…,0
57,RT @zea_ssppea: Materiales y textos escolares no deben ser exigidos en planteles oficiales de todo el país #EducaciónGratuita https://t.co/…,0
58,RT @zea_ssppea: .@MPPEDUCACION regula solicitud de materiales y textos escolares en el nivel de Educación Básica #EducaciónGratuita https:/…,1
59,RT @zea_ssppea: La entrega de los materiales escolares es conforme al uso y aplicación en el Calendario Escolar #EducaciónGratuita https://…,1
60,RT @zea_ssppea: Escuelas oficiales deben fomentar el uso de materiales reciclados en actividades pedagógicas #EducaciónGratuita https://t.c…,0
61,RT @zea_ssppea: Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/OtqF68sCaT https://t.co/NNpvRHznHh,1
62,RT @zea_ssppea: Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/OtqF68sCaT https://t.co/NNpvRHznHh,1
63,Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/OtqF68sCaT https://t.co/NNpvRHznHh,0
64,RT @zea_ssppea: Escuelas oficiales deben fomentar el uso de materiales reciclados en actividades pedagógicas #EducaciónGratuita https://t.c…,0
65,RT @zea_ssppea: Escuelas oficiales deben fomentar el uso de materiales reciclados en actividades pedagógicas #EducaciónGratuita https://t.c…,0
66,Escuelas oficiales deben fomentar el uso de materiales reciclados en actividades pedagógicas #EducaciónGratuita https://t.co/RzsNxM8fLi,0
67,RT @zea_ssppea: Condiciones socioeconómicas de los estudiantes no deben ser obstáculo para recibir #EducaciónGratuita .@ZE_ARAGUA https://t…,1
68,La entrega de los materiales escolares es conforme al uso y aplicación en el Calendario Escolar #EducaciónGratuita https://t.co/mFmX2MXiql,1
69,RT @MaSolMe: Condiciones socioeconómicas de los estudiantes no deben ser obstáculo para recibir #EducaciónGratuita https://t.co/LVfro0wrNP,1
70,RT @MaSolMe: Regularización de útiles escolares en planteles oficiales fortalece el derecho a la #EducaciónGratuita https://t.co/t8wXKHOiGU,0
71,RT @zea_ssppea: Promovamos la reutilización de los textos de la #ColecciónBicentenario en escuelas oficiales #EducaciónGratuita https://t.c…,1
72,.@MPPEDUCACION regula solicitud de materiales y textos escolares en el nivel de Educación Básica #EducaciónGratuita https://t.co/XNnJLa7wz6,1
73,Materiales y textos escolares no deben ser exigidos en planteles oficiales de todo el país #EducaciónGratuita https://t.co/Fa3dS1e7wo,0
74,Centros educativos oficiales no podrán solicitar aportes en dinero para inscripciones 2016-2017 #EducaciónGratuita https://t.co/SoFii6YyIM,0
75,"RT @zea_ssppea: Lista de útiles escolares no es un requisito primordial, garantizando inclusión de niños y niñas #EducaciónGratuita https:/…",0
76,"Lista de útiles escolares no es un requisito primordial, garantizando inclusión de niños y niñas #EducaciónGratuita https://t.co/ElTXGjwKrz",0
77,RT @zea_ssppea: Condiciones socioeconómicas de los estudiantes no deben ser obstáculo para recibir #EducaciónGratuita .@ZE_ARAGUA https://t…,1
