,A,date,C,D,content
0,637261765965774848,2015-08-28 13:53:39,0,0,Colaboración internacional CEC &amp; AIESEC https://t.co/BACPmvkVjM http://t.co/e4BU0jv5um
1,637248910021390336,2015-08-28 13:02:34,0,0,NUEVOS EMPRENDEDORES EN POBLACIÓN LA LEGUA https://t.co/DbSjEB0q2A
2,637124210649788417,2015-08-28 04:47:03,0,0,Noticias https://t.co/xFQ1ZJydQ4
3,637121354865598464,2015-08-28 04:35:42,0,0,https://t.co/qyJKlEfR4Z
4,637120287910170624,2015-08-28 04:31:28,0,0,https://t.co/qd5rkOzdEO http://t.co/QAxMVBFsLw
5,637119350688739329,2015-08-28 04:27:44,0,0,https://t.co/NFoK2jrXax
6,637109061557710848,2015-08-28 03:46:51,0,0,https://t.co/mUfuyYln0m
